ID	Slp_C	Slp_S	TX_Time	Send_TS
0	100	100	183		1395841590543417
1	100	99	41		1395841590543699
2	100	155	83		1395841590543895
3	100	118	78		1395841590544096
4	100	116	43		1395841590544290
5	100	150	73		1395841590544483
6	100	115	75		1395841590544671
7	100	119	75		1395841590544865
8	100	118	75		1395841590545058
9	100	117	79		1395841590545250
10	100	122	46		1395841590545451
11	100	153	73		1395841590545650
12	100	129	96		1395841590545852
13	100	120	34		1395841590546068
14	100	147	64		1395841590546249
15	100	111	25		1395841590546424
16	100	149	37		1395841590546598
17	100	137	29		1395841590546772
18	100	145	37		1395841590546946
19	100	137	21		1395841590547120
20	100	153	20		1395841590547294
21	100	154	20		1395841590547468
22	100	154	19		1395841590547642
23	100	155	19		1395841590547816
24	100	155	20		1395841590547990
25	100	154	20		1395841590548164
26	100	154	20		1395841590548338
27	100	154	20		1395841590548512
28	100	154	32		1395841590548686
29	100	143	26		1395841590548861
30	100	153	22		1395841590549040
31	100	154	26		1395841590549216
32	100	150	21		1395841590549392
33	100	153	20		1395841590549566
34	100	153	20		1395841590549739
35	100	154	20		1395841590549913
36	100	154	18		1395841590550087
37	100	156	19		1395841590550261
38	100	155	19		1395841590550435
39	100	154	19		1395841590550608
40	100	154	19		1395841590550781
41	100	155	20		1395841590550955
42	100	154	19		1395841590551129
43	100	155	19		1395841590551303
44	100	155	18		1395841590551477
45	100	155	19		1395841590551650
46	100	155	19		1395841590551824
47	100	159	50		1395841590552002
48	100	158	35		1395841590552210
49	100	159	42		1395841590552404
0	500	3109871	136		1395841593662317
1	500	553	34		1395841593663006
2	500	565	32		1395841593663605
3	500	560	26		1395841593664197
4	500	559	27		1395841593664782
5	500	559	28		1395841593665368
6	500	579	49		1395841593665975
7	500	582	50		1395841593666606
8	500	567	70		1395841593667223
9	500	550	39		1395841593667843
10	500	559	34		1395841593668441
11	500	564	33		1395841593669039
12	500	560	29		1395841593669632
13	500	556	26		1395841593670217
14	500	558	42		1395841593670801
15	500	560	45		1395841593671403
16	500	559	42		1395841593672007
17	500	556	53		1395841593672605
18	500	515	54		1395841593673173
19	500	557	51		1395841593673784
20	500	562	51		1395841593674397
21	500	559	51		1395841593675007
22	500	557	47		1395841593675615
23	500	562	39		1395841593676224
24	500	570	56		1395841593676833
25	500	561	55		1395841593677450
26	500	559	52		1395841593678064
27	500	560	52		1395841593678676
28	500	563	31		1395841593679291
29	500	559	30		1395841593679881
30	500	572	35		1395841593680483
31	500	574	40		1395841593681092
32	500	579	44		1395841593681711
33	500	560	30		1395841593682315
34	500	558	25		1395841593682903
35	500	557	24		1395841593683485
36	500	570	29		1395841593684079
37	500	564	31		1395841593684672
38	500	563	30		1395841593685266
39	500	562	34		1395841593685858
40	500	562	45		1395841593686454
41	500	547	43		1395841593687046
42	500	557	45		1395841593687646
43	500	555	42		1395841593688246
44	500	561	56		1395841593688849
45	500	597	69		1395841593689502
46	500	561	55		1395841593690132
47	500	556	37		1395841593690743
48	500	563	54		1395841593691343
49	500	550	40		1395841593691947
0	1000	3510588	146		1395841597202575
1	1000	1049	45		1395841597203770
2	1000	1061	59		1395841597204876
3	1000	1047	78		1395841597205982
4	1000	1035	103		1395841597207095
5	1000	1071	141		1395841597208269
6	1000	1073	142		1395841597209483
7	1000	1018	104		1395841597210643
8	1000	1074	140		1395841597211821
9	1000	1062	180		1395841597213023
10	1000	996	137		1395841597214199
11	1000	1023	79		1395841597215359
12	1000	1053	56		1395841597216491
13	1000	1063	101		1395841597217610
14	1000	1209	51		1395841597218920
15	1000	1124	50		1395841597220095
16	1000	1065	75		1395841597221210
17	1000	1039	48		1395841597222324
18	1000	1078	54		1395841597223450
19	1000	1079	48		1395841597224583
20	1000	1072	41		1395841597225703
21	1000	1063	35		1395841597226807
22	1000	1080	51		1395841597227922
23	1000	1081	49		1395841597229054
24	1000	1071	65		1395841597230174
25	1000	1061	56		1395841597231300
26	1000	1126	49		1395841597232482
27	1000	1071	41		1395841597233602
28	1000	1110	70		1395841597234753
29	1000	1082	76		1395841597235905
30	1000	1066	63		1395841597237047
31	1000	1050	37		1395841597238160
32	1000	1057	36		1395841597239254
33	1000	1056	34		1395841597240346
34	1000	1062	83		1395841597241442
35	1000	1047	104		1395841597242572
36	1000	1072	141		1395841597243748
37	1000	1060	131		1395841597244949
38	1000	1053	118		1395841597246133
39	1000	1025	54		1395841597247276
40	1000	1078	49		1395841597248408
41	1000	1121	134		1395841597249578
42	1000	1066	138		1395841597250778
43	1000	1063	139		1395841597251979
44	1000	1070	138		1395841597253188
45	1000	1064	138		1395841597254390
46	1000	1041	155		1395841597255569
47	1000	1035	119		1395841597256759
48	1000	1061	114		1395841597257939
49	1000	1093	110		1395841597259146
0	5000	3208617	246		1395841600467873
1	5000	5081	137		1395841600473200
2	5000	5070	145		1395841600478407
3	5000	5019	94		1395841600483571
4	5000	5098	138		1395841600488763
5	5000	5057	129		1395841600493958
6	5000	5047	78		1395841600499134
7	5000	5085	101		1395841600504297
8	5000	5088	135		1395841600509486
9	5000	5042	136		1395841600514663
10	5000	5081	142		1395841600519880
11	5000	5043	139		1395841600525065
12	5000	5046	123		1395841600530250
13	5000	5026	82		1395841600535399
14	5000	5061	87		1395841600540542
15	5000	5052	58		1395841600545681
16	5000	5106	112		1395841600550845
17	5000	5095	108		1395841600556052
18	5000	5082	116		1395841600561242
19	5000	5065	95		1395841600566423
20	5000	5111	104		1395841600571629
21	5000	5101	108		1395841600576834
22	5000	5114	109		1395841600582056
23	5000	5096	113		1395841600587261
24	5000	5047	91		1395841600592421
25	5000	5068	88		1395841600597580
26	5000	5102	132		1395841600602770
27	5000	5098	108		1395841600608000
28	5000	5104	112		1395841600613212
29	5000	5114	111		1395841600618438
30	5000	5102	125		1395841600623651
31	5000	5056	104		1395841600628832
32	5000	5116	111		1395841600634052
33	5000	5109	108		1395841600639272
34	5000	5112	110		1395841600644492
35	5000	5095	110		1395841600649697
36	5000	5064	118		1395841600654871
37	5000	5077	132		1395841600660066
38	5000	5089	140		1395841600665287
39	5000	5082	137		1395841600670509
40	5000	5086	139		1395841600675732
41	5000	5080	137		1395841600680951
42	5000	5037	117		1395841600686125
43	5000	5057	125		1395841600691299
44	5000	5049	135		1395841600696473
45	5000	5084	139		1395841600701692
46	5000	5061	118		1395841600706892
47	5000	5083	140		1395841600712093
48	5000	5038	107		1395841600717271
49	5000	5074	140		1395841600722452
0	10000	3229576	346		1395841603952168
1	10000	10060	79		1395841603962574
2	10000	10091	156		1395841603972744
3	10000	10022	90		1395841603982922
4	10000	10083	188		1395841603993095
5	10000	10029	91		1395841604003312
6	10000	10064	129		1395841604013467
7	10000	10092	141		1395841604023688
8	10000	9965	75		1395841604033794
9	10000	10060	44		1395841604043929
10	10000	10084	84		1395841604054057
11	10000	10125	141		1395841604064266
12	10000	10016	48		1395841604074423
13	10000	10072	131		1395841604084543
14	10000	10022	119		1395841604094696
15	10000	10035	93		1395841604104850
16	10000	10083	137		1395841604115026
17	10000	10036	137		1395841604125199
18	10000	10032	92		1395841604135368
19	10000	10072	90		1395841604145532
20	10000	10122	113		1395841604155744
21	10000	10074	115		1395841604165931
22	10000	10068	132		1395841604176114
23	10000	10114	112		1395841604186360
24	10000	10083	213		1395841604196555
25	10000	9978	95		1395841604206746
26	10000	10119	113		1395841604216960
27	10000	10075	115		1395841604227148
28	10000	10105	114		1395841604237368
29	10000	10093	113		1395841604247575
30	10000	10079	115		1395841604257767
31	10000	10052	110		1395841604267934
32	10000	10097	116		1395841604278141
33	10000	10082	124		1395841604288339
34	10000	10090	103		1395841604298553
35	10000	10105	111		1395841604308761
36	10000	10083	119		1395841604318955
37	10000	10099	111		1395841604329173
38	10000	10114	113		1395841604339398
39	10000	10078	116		1395841604349589
40	10000	10077	156		1395841604359782
41	10000	10080	135		1395841604370018
