ID	Slp_C	Slp_S	TX_Time	Send_TS
0	100	100	112		1395841080946709
1	100	144	44		1395841080946965
2	100	122	30		1395841080947131
3	100	134	12		1395841080947295
4	100	152	9		1395841080947459
5	100	154	10		1395841080947622
6	100	154	10		1395841080947786
7	100	153	11		1395841080947949
8	100	152	9		1395841080948112
9	100	154	10		1395841080948275
10	100	154	9		1395841080948439
11	100	154	10		1395841080948602
12	100	154	9		1395841080948766
13	100	154	9		1395841080948929
14	100	153	10		1395841080949091
15	100	162	41		1395841080949263
16	100	139	21		1395841080949443
17	100	155	21		1395841080949619
18	100	158	38		1395841080949798
19	100	139	36		1395841080949975
20	100	140	34		1395841080950151
21	100	143	36		1395841080950328
22	100	142	35		1395841080950506
23	100	141	19		1395841080950682
24	100	157	21		1395841080950858
25	100	157	19		1395841080951036
26	100	158	20		1395841080951213
27	100	158	19		1395841080951391
28	100	157	19		1395841080951567
29	100	158	20		1395841080951744
30	100	157	18		1395841080951921
31	100	157	19		1395841080952096
32	100	158	21		1395841080952273
33	100	157	19		1395841080952451
34	100	157	18		1395841080952627
35	100	159	20		1395841080952804
36	100	157	20		1395841080952981
37	100	158	19		1395841080953159
38	100	159	26		1395841080953337
39	100	154	20		1395841080953517
40	100	156	18		1395841080953693
41	100	158	21		1395841080953869
42	100	157	19		1395841080954047
43	100	159	21		1395841080954225
44	100	156	19		1395841080954402
45	100	157	19		1395841080954578
46	100	159	20		1395841080954756
47	100	157	17		1395841080954933
48	100	158	18		1395841080955108
49	100	159	20		1395841080955285
0	500	3423930	142		1395841084379235
1	500	559	45		1395841084379936
2	500	564	34		1395841084380545
3	500	553	29		1395841084381132
4	500	546	32		1395841084381707
5	500	554	30		1395841084382293
6	500	556	30		1395841084382879
7	500	556	30		1395841084383465
8	500	555	32		1395841084384050
9	500	511	45		1395841084384593
10	500	555	35		1395841084385193
11	500	557	40		1395841084385785
12	500	556	46		1395841084386381
13	500	558	40		1395841084386985
14	500	785	42		1395841084387810
15	500	563	45		1395841084388415
16	500	712	70		1395841084389172
17	500	1375	55		1395841084390617
18	500	565	52		1395841084391237
19	500	555	47		1395841084391844
20	500	556	48		1395841084392447
21	500	559	55		1395841084393054
22	500	559	47		1395841084393668
23	500	559	42		1395841084394274
24	500	560	44		1395841084394876
25	500	562	48		1395841084395482
26	500	551	38		1395841084396081
27	500	1115	49		1395841084397234
28	500	551	16		1395841084397834
29	500	569	57		1395841084398419
30	500	553	37		1395841084399029
31	500	559	30		1395841084399625
32	500	558	27		1395841084400213
33	500	559	28		1395841084400799
34	500	560	29		1395841084401387
35	500	559	26		1395841084401975
36	500	550	10		1395841084402551
37	500	556	21		1395841084403117
38	500	577	54		1395841084403715
39	500	1502	24		1395841084405271
40	500	553	16		1395841084405848
41	500	552	41		1395841084406416
42	500	540	22		1395841084406997
43	500	557	24		1395841084407576
44	500	551	14		1395841084408151
45	500	554	18		1395841084408719
46	500	556	38		1395841084409293
47	500	549	25		1395841084409880
48	500	554	28		1395841084410459
49	500	562	42		1395841084411049
0	1000	6019330	60		1395841090430421
1	1000	1053	18		1395841090431534
2	1000	1053	12		1395841090432605
3	1000	1054	13		1395841090433671
4	1000	1054	12		1395841090434738
5	1000	1057	18		1395841090435807
6	1000	1056	18		1395841090436881
7	1000	1057	19		1395841090437956
8	1000	1051	20		1395841090439026
9	1000	1056	23		1395841090440102
10	1000	1042	29		1395841090441167
11	1000	1057	24		1395841090442253
12	1000	1052	22		1395841090443329
13	1000	1053	35		1395841090444404
14	1000	1049	13		1395841090445488
15	1000	1054	13		1395841090446555
16	1000	1058	21		1395841090447626
17	1000	1056	18		1395841090448703
18	1000	1050	12		1395841090449771
19	1000	1052	11		1395841090450835
20	1000	1054	12		1395841090451900
21	1000	1053	11		1395841090452965
22	1000	1052	11		1395841090454028
23	1000	1055	20		1395841090455094
24	1000	1074	58		1395841090456188
25	1000	1051	30		1395841090457297
26	1000	1064	63		1395841090458391
27	1000	1079	94		1395841090459533
28	1000	1060	43		1395841090460687
29	1000	1095	60		1395841090461825
30	1000	1119	66		1395841090463004
31	1000	1054	38		1395841090464124
32	1000	1053	19		1395841090465215
33	1000	1067	39		1395841090466301
34	1000	1062	40		1395841090467402
35	1000	1061	39		1395841090468503
36	1000	1063	39		1395841090469605
37	1000	1062	39		1395841090470706
38	1000	1051	25		1395841090471796
39	1000	1054	22		1395841090472875
40	1000	1066	40		1395841090473963
41	1000	1046	17		1395841090475049
42	1000	1032	46		1395841090476098
43	1000	1075	86		1395841090477219
44	1000	1081	72		1395841090478386
45	1000	1096	119		1395841090479554
46	1000	1076	103		1395841090480749
47	1000	1035	41		1395841090481887
48	1000	1058	43		1395841090482986
49	1000	1056	37		1395841090484085
0	5000	4591015	78		1395841095075137
1	5000	5033	26		1395841095080248
2	5000	5052	31		1395841095085326
3	5000	5051	32		1395841095090408
4	5000	5066	64		1395841095095506
5	5000	5065	78		1395841095100635
6	5000	5059	56		1395841095105772
7	5000	5070	61		1395841095110898
8	5000	5051	32		1395841095116010
9	5000	5054	19		1395841095121096
10	5000	5057	38		1395841095126172
11	5000	5056	38		1395841095131266
12	5000	5067	31		1395841095136371
13	5000	5055	44		1395841095141457
